,registros,porcentaje_WA
AUDI / A3,548,0.3087724043115446
AUDI / Q4,510,0.2873611791950506
RIVIAN / EDV,506,0.28510736602489334
MAZDA / CX-90,472,0.26594995407855665
BMW / 330E,453,0.25524434152030967
VOLVO / C40,414,0.2332696631112764
BMW / 530E,408,0.22988894335604051
KIA / SOUL,401,0.2259447703082653
FORD / ESCAPE,392,0.22087369067541146
PORSCHE / CAYENNE,357,0.20115282543653545
FORD / TRANSIT,334,0.1881933997081312
MERCEDES-BENZ / EQB-CLASS,322,0.18143196019765942
HYUNDAI / IONIQ 6,315,0.1774877871498842
BMW / X3,309,0.17410706739464832
CADILLAC / LYRIQ,290,0.16340145483640134
AUDI / Q8,287,0.16171109495878339
MERCEDES-BENZ / EQE-CLASS SUV,283,0.15945728178862614
TOYOTA / BZ4X,282,0.1588938284960868
CHEVROLET / SPARK,240,0.13522879020943557
LUCID / AIR,240,0.13522879020943557
HYUNDAI / IONIQ,233,0.13128461716166037
FORD / FOCUS,233,0.13128461716166037
JAGUAR / I-PACE,232,0.13072116386912108
MERCEDES-BENZ / EQS-CLASS SUV,226,0.12734044411388518
MINI / COUNTRYMAN,222,0.1250866309437279
HYUNDAI / KONA,219,0.12339627106610998
KIA / SOUL EV,215,0.12114245789595272
HYUNDAI / SANTA FE,212,0.11945209801833476
MERCEDES-BENZ / EQS-CLASS SEDAN,203,0.11438101838548093
KIA / EV9,201,0.11325411180040232
MERCEDES-BENZ / GLC-CLASS,200,0.11269065850786299
HYUNDAI / TUCSON,195,0.10987339204516641
LEXUS / NX,188,0.10592921899739122
AUDI / E-TRON SPORTBACK,185,0.10423885911977326
LEXUS / RZ 450E,182,0.10254849924215532
LINCOLN / AVIATOR,169,0.09522360643914422
SMART / FORTWO ELECTRIC DRIVE,151,0.08508144717343656
VOLVO / S60,141,0.0794469142480434
AUDI / Q5,138,0.07775655437042546
GENESIS / GV60,137,0.07719310107788616
AUDI / E-TRON GT,133,0.07493928790772889
PORSCHE / PANAMERA,132,0.07437583461518957
MERCEDES-BENZ / GLE-CLASS,124,0.06986820827487505
MERCEDES-BENZ / EQE-CLASS SEDAN,109,0.06141640888678533
KIA / OPTIMA,106,0.05972604900916738
LINCOLN / CORSAIR,97,0.05465496937631355
BMW / I8,90,0.050710796328538345
MERCEDES-BENZ / B-CLASS,90,0.050710796328538345
TOYOTA / PRIUS,89,0.05014734303599903
CADILLAC / ELR,77,0.04338590352552725
HYUNDAI / SONATA,74,0.041695543647909304
SMART / FORTWO,65,0.03662446401505547
SUBARU / CROSSTREK,65,0.03662446401505547
MITSUBISHI / I-MIEV,60,0.03380719755235889
TOYOTA / RAV4,54,0.030426477797123007
SMART / EQ FORTWO,54,0.030426477797123007
BMW / I5,50,0.028172664626965747
VOLVO / V60,46,0.02591885145680849
TESLA / ROADSTER,46,0.02591885145680849
ALFA ROMEO / TONALE,39,0.021974678409033284
FISKER / OCEAN,36,0.020284318531415338
LAND ROVER / RANGE ROVER SPORT,35,0.019720865238876024
AUDI / RS E-TRON GT,35,0.019720865238876024
CHEVROLET / SILVERADO EV,33,0.018593958653797392
VOLVO / S90,32,0.018030505361258078
BMW / 740E,31,0.017467052068718764
GENESIS / GV70,29,0.016340145483640135
LAND ROVER / RANGE ROVER,20,0.011269065850786299
MERCEDES-BENZ / C-CLASS,20,0.011269065850786299
BMW / I7,16,0.009015252680629039
GENESIS / G80,15,0.008451799388089723
CHEVROLET / BLAZER EV,14,0.007888346095550409
FORD / RANGER,13,0.007324892803011095
AUDI / A7,13,0.007324892803011095
CADILLAC / CT6,13,0.007324892803011095
FISKER / KARMA,12,0.006761439510471779
MERCEDES-BENZ / S-CLASS,11,0.0061979862179324646
HONDA / ACCORD,10,0.0056345329253931495
BMW / 745E,9,0.0050710796328538345
AZURE DYNAMICS / TRANSIT CONNECT ELECTRIC,8,0.0045076263403145194
BMW / XM,6,0.0033807197552358894
TH!NK / CITY,5,0.0028172664626965748
AUDI / SQ8,5,0.0028172664626965748
MAZDA / MX-30,4,0.0022538131701572597
GMC / HUMMER EV PICKUP,3,0.0016903598776179447
AUDI / A8 E,3,0.0016903598776179447
WHEEGO ELECTRIC CARS / WHEEGO,3,0.0016903598776179447
BENTLEY / FLYING SPUR,2,0.0011269065850786299
BMW / 745LE,2,0.0011269065850786299
PORSCHE / 918,1,0.0005634532925393149
CHEVROLET / S-10 PICKUP,1,0.0005634532925393149
ROLLS ROYCE / SPECTRE,1,0.0005634532925393149
BENTLEY / BENTAYGA,1,0.0005634532925393149
