,registros,porcentaje_WA
Lewis / Packwood,17,0.009578705973168355
Pierce / Enumclaw,17,0.009578705973168355
Thurston / Centralia,16,0.009015252680629039
Columbia / Dayton,16,0.009015252680629039
Walla Walla / Burbank,16,0.009015252680629039
Adams / Ritzville,16,0.009015252680629039
Stevens / Loon Lake,16,0.009015252680629039
Okanogan / Brewster,15,0.008451799388089723
Pacific / Ilwaco,15,0.008451799388089723
San Juan / Shaw Island,15,0.008451799388089723
Lewis / Morton,15,0.008451799388089723
Clallam / Forks,14,0.007888346095550409
Whatcom / Glacier,14,0.007888346095550409
Grays Harbor / Cosmopolis,14,0.007888346095550409
Whatcom / Sumas,14,0.007888346095550409
Yakima / Toppenish,13,0.007324892803011095
San Juan / Anacortes,13,0.007324892803011095
Pacific / Naselle,13,0.007324892803011095
Klickitat / Snowden,13,0.007324892803011095
Spokane / Spangle,13,0.007324892803011095
Yakima / Wapato,12,0.006761439510471779
Stevens / Deer Park,12,0.006761439510471779
San Juan / Orcas Is,12,0.006761439510471779
Spokane / Fairchild Air Force Base,12,0.006761439510471779
Jefferson / Sequim,11,0.0061979862179324646
Skamania / North Bonneville,11,0.0061979862179324646
Lewis / Mineral,11,0.0061979862179324646
Lewis / Silver Creek,11,0.0061979862179324646
Lincoln / Davenport,11,0.0061979862179324646
Ferry / Kettle Falls,11,0.0061979862179324646
Mason / Elma,10,0.0056345329253931495
Skagit / Sedro Woolley,10,0.0056345329253931495
Asotin / Asotin,10,0.0056345329253931495
Whatcom / Nooksack,10,0.0056345329253931495
Whatcom / Acme,10,0.0056345329253931495
Walla Walla / Waitsburg,10,0.0056345329253931495
Grant / Coulee City,10,0.0056345329253931495
Snohomish / Darrington,9,0.0050710796328538345
Yakima / Union Gap,9,0.0050710796328538345
Yakima / Outlook,9,0.0050710796328538345
Okanogan / Okanogan,9,0.0050710796328538345
Franklin / Connell,9,0.0050710796328538345
Lewis / Rochester,9,0.0050710796328538345
Douglas / Rock Island,9,0.0050710796328538345
King / Skykomish,8,0.0045076263403145194
Yakima / Granger,8,0.0045076263403145194
Yakima / Mabton,8,0.0045076263403145194
Lewis / Vader,8,0.0045076263403145194
Pacific / North Cove,8,0.0045076263403145194
Grays Harbor / Grayland,8,0.0045076263403145194
Skagit / Bellingham,8,0.0045076263403145194
Pierce / Carbonado,8,0.0045076263403145194
Pacific / Seaview,8,0.0045076263403145194
Ferry / Republic,8,0.0045076263403145194
Walla Walla / Touchet,8,0.0045076263403145194
Mason / Lilliwaup,8,0.0045076263403145194
Ferry / Curlew,8,0.0045076263403145194
Pacific / Menlo,8,0.0045076263403145194
Yakima / Tieton,7,0.003944173047775204
Klickitat / Dallesport,7,0.003944173047775204
Whitman / Rosalia,7,0.003944173047775204
Lincoln / Wilbur,7,0.003944173047775204
Lewis / Ashford,7,0.003944173047775204
Lewis / Ethel,7,0.003944173047775204
Lewis / Curtis,7,0.003944173047775204
Okanogan / Pateros,7,0.003944173047775204
Stevens / Valley,7,0.003944173047775204
Lewis / Napavine,7,0.003944173047775204
Klickitat / Bingen,6,0.0033807197552358894
Kitsap / Keyport,6,0.0033807197552358894
Cowlitz / Toutle,6,0.0033807197552358894
Stevens / Evans,6,0.0033807197552358894
Whitman / Garfield,6,0.0033807197552358894
